id,is_iceberg
5941774d,0.000025
4023181e,0.998655
b20200e4,0.002371
e7f018bb,0.999963
4371c8c3,0.634913
a8d9b1fd,0.909739
29e7727e,0.000096
92a51ffb,0.999552
c769ac97,0.019017
aee0547d,0.000684
565b28ac,0.000769
e04e9775,0.890163
8e8161d1,0.000114
4cf4d256,0.999952
139e5324,0.977843
f156976f,0.000359
68a117cc,0.395071
d9aa7a56,0.983892
9005b143,0.991607
5f6d3988,0.999561
9ad70954,0.996321
b9087b9e,0.938442
a39a1427,0.998453
82fbe8ed,0.004737
1fae4879,0.000706
6dd8f13d,0.012797
bbad5958,0.003496
54527583,0.996287
be8fa29c,0.963497
81a3328f,0.998701
1a3c0ab3,0.004862
4deeeb8b,0.999890
ac6d5632,0.998575
472dadb5,0.929216
96093f95,0.050019
f5b4e3df,0.999941
e01a3c92,0.062238
001680af,0.687356
8e639f33,0.000676
a2c16612,0.985137
a6d76474,0.011156
19c47684,0.991859
015827b6,0.149510
7df7f7ce,0.989025
0bbf1a3f,0.999892
636cfbb7,0.638551
7370030a,0.999773
43aa97ad,0.000091
ba2b5e63,0.999928
dfdd335b,0.999798
e79b13dc,0.010615
dc32b195,0.992753
6d868590,0.999747
75fa59aa,0.997119
ffe50836,0.133375
a7bfd784,0.999819
b3d569e3,0.002110
6c538c5b,0.002836
5c7c15f4,0.014142
0b745139,0.069350
fd14608e,0.135132
f0bc8305,0.992093
a10ccb28,0.999995
543304c7,0.999269
6c3a4078,0.000158
9b73cc75,0.993390
5c6c71b1,0.179488
09ee9186,0.832113
207c35cf,0.999581
153c813e,0.001129
5605d58b,0.999726
642ca396,0.003238
d32d72c0,0.937994
16646a17,0.999355
384074af,0.266711
69bf1e8c,0.999899
9e90a054,0.998402
89dbe7f7,0.999969
dbd27d22,0.997209
a2ea1561,0.999613
d63402af,0.915668
1ac8bb92,0.997970
8beffca5,0.957689
46741f3e,0.000044
e5ee6aa7,0.022705
5ecd892b,0.999530
69892166,0.000099
2f725a81,0.008211
810abfe4,0.000493
e6f973e6,0.999040
c60a5c46,0.996275
c42b9e08,0.932518
c3f00c23,0.047438
5307fdb8,0.993946
3e4f005e,0.013404
4a4cc2e0,0.998668
9bdd88d1,0.000008
0d832bed,0.001113
14a134fa,0.982524
78a41676,0.003324
0bd4658e,0.994239
4a311bb0,0.999926
f939c817,0.129559
