id,is_iceberg
5941774d,0.000018
4023181e,0.000024
b20200e4,0.014370
e7f018bb,0.000798
4371c8c3,0.707098
a8d9b1fd,0.008038
29e7727e,0.008098
92a51ffb,0.037435
c769ac97,0.003299
aee0547d,0.000895
565b28ac,0.997100
e04e9775,0.000831
8e8161d1,0.144982
4cf4d256,0.138898
139e5324,0.026236
f156976f,0.000018
68a117cc,0.000008
d9aa7a56,0.064438
9005b143,0.044606
5f6d3988,0.254498
9ad70954,0.991659
b9087b9e,0.000000
a39a1427,0.984869
82fbe8ed,0.737196
1fae4879,0.117018
6dd8f13d,0.875617
bbad5958,0.979369
54527583,0.024373
be8fa29c,0.004848
81a3328f,0.044331
1a3c0ab3,0.832187
4deeeb8b,0.000004
ac6d5632,0.723887
472dadb5,0.000112
96093f95,0.001425
f5b4e3df,0.995462
e01a3c92,0.548045
001680af,0.999387
8e639f33,0.000000
a2c16612,0.999443
a6d76474,0.643525
19c47684,0.000002
015827b6,0.935044
7df7f7ce,0.972961
0bbf1a3f,0.004473
636cfbb7,0.000778
7370030a,0.984954
43aa97ad,0.001993
ba2b5e63,0.097482
dfdd335b,0.000000
e79b13dc,0.003259
dc32b195,0.181428
6d868590,0.000256
75fa59aa,0.999932
ffe50836,0.301457
a7bfd784,0.000005
b3d569e3,0.003628
6c538c5b,0.377492
5c7c15f4,0.094000
0b745139,0.207733
fd14608e,0.000000
f0bc8305,0.950851
a10ccb28,0.003627
543304c7,0.263622
6c3a4078,0.999503
9b73cc75,0.073808
5c6c71b1,0.988819
09ee9186,0.735955
207c35cf,0.997771
153c813e,0.277471
5605d58b,0.001431
642ca396,0.025543
d32d72c0,0.983626
16646a17,0.000103
384074af,0.001869
69bf1e8c,0.000017
9e90a054,0.983337
89dbe7f7,0.002769
dbd27d22,0.606733
a2ea1561,0.000000
d63402af,0.031203
1ac8bb92,0.023313
8beffca5,0.778850
46741f3e,0.000410
e5ee6aa7,0.997737
5ecd892b,0.001862
69892166,0.561076
2f725a81,0.000004
810abfe4,0.003426
e6f973e6,0.006331
c60a5c46,0.000226
c42b9e08,0.147515
c3f00c23,0.969276
5307fdb8,0.000286
3e4f005e,0.994532
4a4cc2e0,0.990974
9bdd88d1,0.010232
0d832bed,0.001038
14a134fa,0.003633
78a41676,0.000001
0bd4658e,0.227572
4a311bb0,0.958829
f939c817,0.999737
956adc4d,0.039397
f8a119f5,0.982299
61faa1ad,0.000007
6725eb3e,0.672446
17b3a8fd,0.374974
49a88dfc,0.994278
2d6ec645,0.000610
0d4d77ba,0.000293
3ee672a2,0.999933
738b41fd,0.151037
f7fb320d,0.462302
b42fad18,0.998332
4ab8b00a,0.000031
f7870f2b,0.600774
4978666a,0.908103
f1b0d6c7,0.368533
5642407f,0.858894
36d4ff92,0.035656
4139aba2,0.791234
7585ce58,0.999801
33e25984,0.008388
ac46f3c9,0.000841
fc34a5b8,0.002629
85c36a8f,0.000340
b2d8a426,0.058466
13ec60d1,0.000025
9d440f42,0.999931
1c0a891e,0.636568
981c3bc3,0.000007
295604f4,0.631122
16ca16c3,0.000010
b4dda837,0.014963
88d088ef,0.000497
1b4fa160,0.297367
f371bd82,0.030633
b130a0b7,0.943485
ebf1de82,0.857617
01e651c3,0.633739
51b1fecc,0.338075
fa635a31,0.964108
97b7d789,0.000629
2f598053,0.102610
c0e3e148,0.003007
cfa175a8,0.009506
3d7e09d8,0.043584
44a13d1b,0.009096
c66b0948,0.000333
976a6d64,0.800265
8bbd8909,0.000041
522890fd,0.932890
f23a3b95,0.971462
680039dc,0.016319
93028e53,0.000000
22a16932,0.004230
7d8126d2,0.001131
ba2ecd75,0.000000
8071bdd7,0.999571
96d5aeee,0.010396
154be68f,0.386107
d8c2bfe2,0.142164
f76d47b0,0.000053
0e781ade,0.398866
13cf6060,0.990000
cd99f710,0.015957
d10005bb,0.098114
3a31445f,0.000221
3157202d,0.011436
6ee64703,0.002456
e5de8685,0.841418
02cc70ba,0.000001
50984a87,0.003607
fa94957a,0.001136
eab406b4,0.470631
3ad39398,0.929465
9ecf3802,0.996785
6048ae7b,0.000056
9dc68871,0.939445
13701465,0.596030
8d8779f3,0.000004
0712f269,0.999714
722c2597,0.249276
478a2b08,0.999213
38f5fb41,0.452650
c52ad74d,0.000016
0c85fd09,0.298293
f1582cba,0.000000
ff836697,0.000606
ddfe4802,0.001384
3cef3bc7,0.000481
6a21542b,0.149946
150e23c4,0.018775
078c6d99,0.000002
1dcd1dc3,0.839240
39967e45,0.979876
6b6333aa,0.884221
4ae61433,0.021457
f96362e0,0.025248
97a88aac,0.005946
427ae8ce,0.212756
209d4b15,0.011466
64b453bd,0.000012
0f5a484e,0.001698
5ac74969,0.769289
736ed43e,0.000066
8533795f,0.933686
f5b54fb6,0.948878
6eb4c041,0.000054
97afdf42,0.483582
1bb488db,0.868228
f132e44d,0.633082
d3c2f140,0.693822
1756794d,0.000012
9efcc11f,0.007924
14c966cf,0.001043
59cfe4d1,0.010170
883151f4,0.000143
34c4c9ff,0.933615
70b4c2eb,0.999927
96a337d9,0.297677
7fe89ffa,0.882718
057c7a22,0.001090
451cc057,0.788476
05076700,0.001479
dc52f6c1,0.999396
b03a59f9,0.935524
129ed4b0,0.126589
fb611563,0.003272
ac32e6f1,0.000044
c05c5ab0,0.914036
3163d5ed,0.000037
02096ca4,0.323712
e92496c0,0.000068
1a9e2c50,0.983391
0864e334,0.982553
d976faeb,0.000454
1d7b342f,0.002928
281bc1ea,0.000015
bea9f0cf,0.004613
f4afa0e6,0.016254
e1b5ef69,0.949554
b50539fd,0.015045
2a8c9c15,0.000019
157ebb0c,0.029992
247d3614,0.995965
0c6cc0cb,0.200278
aae88d39,0.801908
0c77b464,0.000548
963cf5ea,0.593437
1b371d8b,0.000168
225bc00f,0.000165
bc0a4eec,0.000001
1099782e,0.556055
a18feadd,0.000132
ad7f4932,0.107614
5f8f831e,0.339343
b5167c35,0.010913
0230b06d,0.897693
f8d7f7ba,0.002617
08bd1053,0.000830
58e4dc8c,0.000005
4793ce8e,0.012586
304caab4,0.000049
f2ee6d7f,0.012447
e1f9c0e4,0.191226
8e40401c,0.000000
5d9eaba2,0.993612
55e7562c,0.000027
9da6cb4b,0.005956
c3c1c8ec,0.861887
3b38698e,0.998727
6c9eb909,0.009569
482a3d1d,0.998951
0e9918f0,0.996228
ef894fd2,0.856893
4b82e7f7,0.000201
b9cdd7fb,0.000014
94a496f4,0.000772
995eacae,0.002216
41b02e58,0.927593
69f04617,0.758779
c889a03c,0.000017
91f98acf,0.000004
9135c19f,0.000023
1f0e9c09,0.999020
260d6e8e,0.232552
46334397,0.339679
f34ddf31,0.000003
4d6177d7,0.000434
76a57270,0.153806
217b8cea,0.081060
9a45a566,0.469980
1b55c75e,0.000012
7bd92ec6,0.523817
6c409f41,0.907967
df3e48eb,0.776322
62723e57,0.999837
b8e627bf,0.985472
86bb5d85,0.995959
77e5034c,0.862862
607079e5,0.934717
96879fb4,0.975976
6afe606d,0.003585
4129802f,0.923734
a42300ef,0.926609
1af842f5,0.000213
3fe57d78,0.004688
f4e60ed5,0.000218
68c8337b,0.000000
914ed5b5,0.001253
a6bb5987,0.007062
c781c439,0.095522
47a1a25e,0.900497
80ea0713,0.949149
a9d001bc,0.806073
f94d098a,0.999480
3e230e0e,0.002903
24afa485,0.658690
bc37db7f,0.770840
83f99e4d,0.103828
1a8d86f7,0.117814
38136419,0.051708
d393e637,0.935955
36902570,0.001529
327f7b25,0.011907
3f8543c6,0.001947
a0d42a70,0.015202
e07ba430,0.202261
c6e53803,0.066810
fec4dad8,0.000001
933fc5ba,0.245888
c27eda4e,0.997961
9b94d2c2,0.999852
a2dbdb31,0.265119
816258dd,0.508595
81f11218,0.991826
c4bd9d04,0.999944
c6ce9bf9,0.017267
a7b3cc29,0.000172
527870bf,0.000000
9af26068,0.000415
0b591e70,0.002715
2b1e57c5,0.000001
194db786,0.991997
e09ba644,0.000003
fa2ed3e5,0.146355
1ba92726,0.000028
8c8f45b4,0.439439
f8889f44,0.993444
598e255b,0.082749
45f1aa7a,0.000913
022956a3,0.000132
d406064d,0.034904
76617947,0.673004
d0e5dccb,0.749068
33271da6,0.005199
0840e2b1,0.997287
521a9f4d,0.000191
7286b1dc,0.081482
5b6acc2d,0.506162
e034cd34,0.003606
46577660,0.000000
bb4d6f24,0.996634
bfc7a3f2,0.002609
abc66be8,0.557368
3627189f,0.000001
e49a77f6,0.990198
a209d7ee,0.000000
dee69cf6,0.001605
9a6261a0,0.080511
a8e444c6,0.006998
a6a66a28,0.003311
db7022ff,0.989811
0dfb45d9,0.977900
81c983aa,0.003065
a98fb5e1,0.000000
99e004d7,0.002080
d16e5fbb,0.000403
3c352f9e,0.002546
12202699,0.921338
86af0236,0.008788
f3703e6f,0.004040
4a71dc34,0.000089
321edcdc,0.747205
e365a657,0.999892
45755c9c,0.379102
873b0829,0.000002
72ccd009,0.997061
205243d9,0.533018
d9202f36,0.047791
9d0c30b0,0.114204
56644ace,0.848991
c63f527f,0.999756
bb84b9bd,0.063629
6f68caf0,0.581334
8492119b,0.000109
71bde48d,0.001198
d2d6e2ba,0.045770
6f4b309c,0.000064
b3cc5ba3,0.000808
fee39547,0.000000
4893137a,0.984478
e283c4c4,0.999787
25bac62b,0.063890
8fd88dd6,0.979888
b48c104e,0.011918
221d500b,0.983012
8f0de087,0.012460
32342e03,0.000261
a8da99d8,0.003366
93203755,0.000000
d3c88528,0.002839
0d7a17b3,0.873932
bd72f5ec,0.960979
e953c0fd,0.189786
e730b6c6,0.000006
c086033a,0.153204
a521d303,0.571987
b023957a,0.000000
3e0f04e8,0.990498
60647cba,0.004917
2f5c43a8,0.117808
b54ba69b,0.000221
eac962ff,0.807574
7e2a3763,0.000046
9362d863,0.032831
8f1b833c,0.994155
79727ff5,0.998530
62614c75,0.267092
75a03adf,0.994713
cf138392,0.001933
bf467a96,0.987126
c8b34651,0.997174
105a5c54,0.118894
bf6de75c,0.003156
060702c8,0.000067
921bad2c,0.090475
e0d17eb0,0.000000
9a3825c9,0.489162
8eda717f,0.000002
78906e0c,0.989405
c60100ad,0.000138
90a72a52,0.997914
d80e4ed4,0.985726
339cd0d2,0.323182
d99de899,0.985947
357e20d1,0.010712
a4d190da,0.330791
bd226217,0.000188
476e2771,0.000000
4e483506,0.036578
f70ea081,0.999869
4645e56f,0.000501
e6d05940,0.335573
f8b3c6af,0.000042
c89d6aad,0.997010
0cb57f6e,0.000561
86a4be46,0.132911
75e62d7e,0.005067
ebc36374,0.000004
0ebcb731,0.000043
24d000c5,0.341679
f3c9a4f6,0.219217
1bc59730,0.438267
47ea0bff,0.000339
cdeccfdd,0.740965
15e09a1d,0.000010
00652788,0.876347
23649c84,0.003489
91188a77,0.999590
eaca8580,0.989209
4ce9daeb,0.999074
d4220673,0.981361
b6a87aef,0.003709
8333ebed,0.018109
950a3453,0.719272
7074f6c9,0.994208
98a02caf,0.994389
59c8d2b3,0.965580
d99d13bd,0.940839
de86f1cf,0.000003
8f4b1985,0.990891
a7779b04,0.000000
2caeab11,0.000033
16aeea7c,0.012602
b9d19ab9,0.000001
29c5d2fd,0.005017
efcefa55,0.000000
099161c3,0.016492
12b49195,0.022852
96a1ce13,0.990464
67964b4f,0.710530
b61c605c,0.922756
bcfc0f16,0.986445
bf0cb956,0.000070
12f6aa7d,0.188400
f36f3a0c,0.000029
83490492,0.000520
e3b62b60,0.983640
20b27d66,0.000164
25c3ce93,0.000018
67a2ff0b,0.846411
9b2d3c1a,0.714365
8ad51f7d,0.000001
14137b57,0.000002
9ea5aa79,0.875175
5ea1d2dd,0.003116
979c867e,0.147074
7ea1e1b6,0.998116
d65520ba,0.260881
765ad2e2,0.999975
d2957326,0.000197
24349e24,0.000001
fd8a2ae3,0.011315
b282d98e,0.997946
3eaa7a61,0.050641
16533dd4,0.004309
4adb68d7,0.997303
565005b9,0.446496
51d86e0c,0.000363
30635642,0.000024
d9480a60,0.993802
b2647128,0.926040
20478c55,0.022273
caa0d105,0.011484
474f4534,0.932613
d51e3867,0.716285
e5d1bba7,0.002023
e7000b2a,0.984129
78f06b79,0.863681
8a9f4bee,0.022286
3d716bbe,0.967945
6e1ddef1,0.032431
9826f39a,0.000159
3fdc82f7,0.689894
31f013c3,0.999555
97a9df6d,0.508475
10e65294,0.201353
0bdca1a5,0.009031
374037fa,0.973531
1d1a0cec,0.005187
d415c5ad,0.008697
ced1306d,0.066947
f43497f3,0.000001
ffd13a9e,0.997886
6f67148e,0.971872
be322b68,0.000256
af209b44,0.596484
69b53a4a,0.002299
4c085180,0.957237
608cea18,0.000026
f8bebbfd,0.056084
ae16855d,0.018431
dfc700b3,0.988949
e3bdd9ac,0.817465
87a8ea20,0.763258
3c3da9aa,0.126846
76c882d6,0.998267
9e429645,0.724399
7dc9c990,0.016660
f38d53ef,0.002151
e1785b6e,0.000972
80c673fb,0.000692
a8b8c20b,0.946839
6a1ff150,0.921048
2f68d4fe,0.000192
c462ec65,0.000235
c374d5c4,0.982202
d20769b3,0.000533
c467fe4d,0.000000
1356229e,0.005083
b1532127,0.994461
3777ee22,0.000004
4ba6023f,0.712194
08504ae6,0.998037
5e0b4cc5,0.773934
249a0c1f,0.000125
24b3497f,0.000024
9edcf494,0.669249
53297290,0.977678
6d3a269e,0.949594
1b0d38fc,0.956796
02747427,0.420594
38867253,0.922349
c392dbd0,0.000012
8939734c,0.267239
097ba3af,0.000132
30f0f835,0.000172
bdab1bcf,0.000008
1070a984,0.044317
c41b8a90,0.000001
86a3b5cc,0.999706
d0a3719e,0.000970
b1a8067b,0.963876
911bc6aa,0.000002
67a2d0ac,0.003552
11447262,0.036437
12fd1375,0.000097
f2898538,0.005262
0e7355e2,0.037527
bc2c87c8,0.449813
94001156,0.000005
d5855224,0.000018
a3c1a552,0.814004
edcf54fa,0.993078
a28b90eb,0.003774
63cd028f,0.000015
dbc79657,0.130836
bc856bf1,0.000018
